OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-TX,USGS Texas Water Science Center,nwistx.01.02003378,Sample-Routine,Water,Surface Water,2020-09-17,12:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119701845,,,"Temperature, water",,28.3,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02003398,Sample-Routine,Water,Surface Water,2020-09-22,09:45:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067250,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-119730707,,,"Temperature, water",,25.9,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002516,Sample-Routine,Water,Surface Water,2020-07-14,13:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119327759,,,"Temperature, water",,31.8,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002644,Sample-Routine,Water,Surface Water,2020-07-14,09:25:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08077647,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-119349476,,,"Temperature, water",,31.6,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101320,Sample-Routine,Water,Surface Water,2020-12-14,14:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042554,,,,Falling stage,Storm,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120779848,,,"Temperature, water",,12.0,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001505,Sample-Routine,Water,Surface Water,2020-03-17,09:45:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-294443094401100,,L-0790068 CAUTION.,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118751818,,,"Temperature, water",,21.9,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101081,Sample-Routine,Water,Surface Water,2020-11-23,10:00:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-294443094401100,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120634402,,,"Temperature, water",,22.8,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02100361,Sample-Routine,Water,Surface Water,2020-12-07,09:30:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08067230,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,Weighted-bottle sampler,NWIS-120189558,,,"Temperature, water",,12.2,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02000790,Sample-Routine,Water,Surface Water,2020-01-21,11:10:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118452233,,,"Temperature, water",,14.0,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101073,Sample-Routine,Water,Surface Water,2020-11-23,13:45:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120634040,,,"Temperature, water",,18.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02101323,Sample-Routine,Water,Surface Water,2020-12-14,13:00:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-294443094401100,,,,Falling stage,Storm,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-120780040,,,"Temperature, water",,18.4,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001504,Sample-Routine,Water,Surface Water,2020-03-17,10:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118752062,,,"Temperature, water",,22.4,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02000791,Sample-Routine,Water,Surface Water,2020-01-21,10:35:00,CST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118452299,,,"Temperature, water",,15.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02100943,Sample-Routine,Water,Surface Water,2020-10-08,09:25:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08077600,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-120590210,,,"Temperature, water",,25.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02003377,Sample-Routine,Water,Surface Water,2020-09-17,13:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119701779,,,"Temperature, water",,29.1,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001602,Sample-Routine,Water,Surface Water,2020-05-05,09:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042558,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118977858,,,"Temperature, water",,26.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02002513,Sample-Routine,Water,Surface Water,2020-07-14,11:00:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-119327628,,,"Temperature, water",,31.5,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001501,Sample-Routine,Water,Surface Water,2020-03-17,12:30:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042546,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118752194,,,"Temperature, water",,22.7,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,nwistx.01.02001601,Sample-Routine,Water,Surface Water,2020-05-05,10:15:00,CDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08042548,,,,"Stable, normal stage",Routine sample,,,60,USGS parameter code 82398,Weighted bottle,,Weighted-bottle sampler,NWIS-118977792,,,"Temperature, water",,25.6,deg C,,Accepted,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
TXSTRMTM_WQX,Texas Stream Team,TXSTRMTM_WQX-04.09.19-25770,Field Msr/Obs,Water,,2019-03-26,14:00:00,CST,,,,,,,,,,,,TST-TCEQ-70209,Citizen Science Water Quality,,TXSTRMTM_WQX-80958,JONES BAY @ TIKI TOM'S RV,,,,,29.3041900000,-94.9065400000,,,,,,STORET-797761589,,,"Temperature, water",,20,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-11T12:35:47,STORET
